,ffa_ceiling,ffa_floor,ffa_points,name,roto_ceiling,roto_floor,roto_points
0,140.79135954,90.89434377999999,122.735518299,PointsSort1,252.13513,104.64135,150.15000000000003
1,138.58641157300002,103.71153864499999,124.75291419300001,PointsSort2,260.12819,104.92733,138.95000000000002
2,132.496278023,79.518530589,111.858335443,PointsSort3,248.20768999999999,108.93137999999999,139.33
3,146.095801417,102.28409820699999,130.703775907,CeilingSort1,260.68259,99.90439000000002,146.23000000000002
4,140.769908033,104.648615675,127.16036263300002,CeilingSort2,263.52326000000005,102.44463999999999,136.2
5,134.686321993,95.16511535599999,119.347796134,CeilingSort3,252.042,108.48454999999998,131.6
6,141.344656838,95.27624563799999,124.62724296299999,FloorSort1,247.81616,109.02554,147.52
7,139.640471576,103.14395508800001,126.05629246699999,FloorSort2,265.56266999999997,113.82808,143.32
8,134.58458052600002,98.10592777899998,121.00516743400001,FloorSort3,258.61572,113.68807000000001,136.68
9,154.83939356,110.015758419,134.629765293,FFA_PointsSort1,252.22155999999998,101.96828,146.5
10,154.56563583,108.55154406700001,133.55113791600002,FFA_PointsSort2,261.72380000000004,102.27503999999999,142.17
11,149.47522355,104.8821159,128.84001392599998,FFA_PointsSort3,255.42761,105.80785999999999,134.59999999999997
12,148.35940312999998,97.340161049,126.270238228,FFA_CeilingSort1,244.06453,102.92040999999999,146.70999999999998
13,154.99012777,110.180624647,133.73090324600003,FFA_CeilingSort2,259.37510999999995,101.86520999999999,140.89999999999998
14,150.89321823,104.062335401,128.068308136,FFA_CeilingSort3,252.51695,103.81738999999999,133.41
15,154.132631124,110.188161599,133.95142906799998,FFA_FloorSort1,248.66333999999998,101.41426,144.72
16,151.82819496000002,112.49241228000001,131.912846076,FFA_FloorSort2,256.13321,105.49369,141.47
17,147.89291298,106.39323891000001,127.37894535599999,FFA_FloorSort3,252.65543,104.50607,135.26999999999998
