"playerId","player","team","position","age","exp","bye","points","lower","upper","sdPts","positionRank","dropoff","tier","ptSpread","overallECR","positionECR","sdRank","risk","sleeper","salary"
2558019,"Alvin Kamara","NO","RB",22,1,6,25.1276873825598,18.4529218106996,27.0302476337449,2.8222765620057,1,4.09190450379107,1,8.57732582304527,NA,1.2,0.4,6.56485626737904,NA,NA
2556370,"Michael Thomas","NO","WR",24,2,6,22.295438955231,19.8345563709139,23.3335742690152,1.3239386748492,1,1.12219307943986,1,3.4990178981013,NA,1.3,0.5,4.47960253079041,NA,NA
2508061,"Antonio Brown","PIT","WR",30,8,7,21.6010951639379,19.4459466310874,23.5158025325403,1.7049298117492,2,1.37012954486239,2,4.06985590145294,NA,2,0.8,5.15498890561657,NA,NA
2552475,"Todd Gurley","LAR","RB",24,3,12,21.5115407029094,19.1838957475995,22.7820949575633,1.21015122871726,2,1.36757267703714,2,3.59819920996387,NA,2.4,0.8,4.44479434999788,NA,NA
2543496,"Odell Beckham","NYG","WR",26,4,9,20.7453965876445,18.0277955182073,22.8609811088645,1.99214696511291,3,1.31870965981795,3,4.83318559065724,NA,3.3,1.2,5.74900240816513,NA,NA
2558125,"Patrick Mahomes","KC","QB",NA,1,12,20.5933154435288,18.3922050166569,22.4346414447293,1.49478962440029,1,1.09465694501183,1,4.04243642807247,NA,1.3,0.6,5.01647052506457,NA,NA
2555224,"Ezekiel Elliott","DAL","RB",23,2,8,20.560025054628,18.28,22.2850820402652,1.63262080673282,3,1.08857258130025,3,4.00508204026524,NA,2.5,0.7,5.00325187644531,NA,NA
2504775,"Drew Brees","NO","QB",39,17,6,19.7467327814893,16.8213171761709,21.089354940146,1.60272964314161,2,0.762160494608821,2,4.26803776397515,NA,2.7,1,6.00238307632753,NA,NA
2552469,"Melvin Gordon","LAC","RB",25,3,8,19.7279109971164,17.576817558299,21.6570258122371,1.93404131517957,4,1.2256910159446,4,4.08020825393805,NA,4,0.5,5.32489023541643,NA,NA
2495454,"Julio Jones","ATL","WR",29,7,8,19.7165346505065,17.07,22.1342264632379,2.51435049471256,4,0.897410866517696,4,5.0642264632379,NA,4.8,1.1,6.42517419595436,NA,NA
