,ffa_ceiling,ffa_floor,ffa_points,name,roto_ceiling,roto_floor,roto_points
0,136.72399156,108.35051861499998,126.65912039399998,PointsSort1,275.43203000000005,105.89782000000001,147.99
1,136.17236031000002,107.232126075,126.417299684,PointsSort2,274.72596000000004,101.67637,147.28000000000003
2,131.01714541,99.481438954,119.71691393999998,PointsSort3,267.21661,106.38459000000002,138.47000000000003
3,136.72399156,108.35051861499998,126.65912039399998,CeilingSort1,275.43203000000005,105.89782000000001,147.99
4,138.62799771,103.91212607499999,126.10169384399998,CeilingSort2,277.96638,104.68969000000003,146.86
5,131.01714541,99.481438954,119.71691393999998,CeilingSort3,267.21661,106.38459000000002,138.47000000000003
6,140.53432999,107.14605359399998,128.372417614,FloorSort1,273.9891,107.71963000000001,147.42
7,136.96683286999996,104.925661054,124.69028392399997,FloorSort2,271.80581,109.527,143.93
8,136.36315763,99.70359646,120.641363094,FloorSort3,262.80063,110.36915,135.49
9,143.89805828000004,110.710921163,131.88442474200002,FFA_PointsSort1,255.56618999999998,95.06833,142.23
10,142.855027,113.57065834,131.66095949200002,FFA_PointsSort2,270.13039,99.06481,143.85
11,137.95055725000003,101.16697393300001,123.37883014999998,FFA_PointsSort3,256.45834,101.21691000000001,133.24
12,142.02803706000003,107.595946633,129.564853322,FFA_CeilingSort1,257.36029,96.50502999999999,140.56
13,146.52232904000005,102.199235173,129.27944836199998,FFA_CeilingSort2,258.36531,95.08488000000001,137.48
14,139.90922213,101.00867589299999,123.077720114,FFA_CeilingSort3,256.89812,103.15285,133.46
15,139.57508895,112.36958142399997,128.28545435200002,FFA_FloorSort1,264.16607,99.87521,144.23000000000002
16,139.98474706000002,114.832201551,128.947803972,FFA_FloorSort2,265.71507,99.90853999999999,140.63000000000002
17,131.12131929999998,107.992556604,120.62942593,FFA_FloorSort3,252.66066999999998,99.12962999999999,132.37
