name,roto_points,roto_ceiling,roto_floor,ffa_points,ffa_ceiling,ffa_floor
PointsSort1,145.08999999999997,252.18275999999997,94.29754,136.30832554,153.11503507,106.74925997900002
PointsSort2,142.19,255.60002,96.57832,134.68639807,153.39698568,103.57180828900002
PointsSort3,136.53,254.52356,109.03779,129.57015478,146.70127882,106.38135561899999
CeilingSort1,142.98,252.46377999999999,97.57435999999998,127.32802611699998,146.85165788999998,102.351325628
CeilingSort2,140.79,254.36354999999998,97.08081999999999,125.91978868699998,146.10231627,98.483873938
CeilingSort3,132.66,246.00205999999997,102.75088999999998,118.79773075699997,137.89738325000002,98.30342126800001
FloorSort1,142.10999999999999,249.91691999999998,99.23567,125.426718762,141.655128076,102.03442952300001
FloorSort2,136.39,254.99227,108.89617000000001,127.37604124199999,146.419136486,102.138012625
FloorSort3,129.31,245.43237,106.28859000000001,122.914222332,143.618421216,98.647793827
FFA_PointsSort1,141.03,242.85097999999996,90.39143000000001,142.46388198,161.13598088999998,113.18257650700001
FFA_PointsSort2,137.28,248.55212999999998,95.50720000000001,137.34436423,158.67696143,106.29201276
FFA_PointsSort3,134.5,252.73636,110.84235000000001,134.38897240999998,154.75777517,108.78621501100001
FFA_CeilingSort1,141.17000000000002,243.65122,90.75717,141.59900631,159.69677955,112.20081155900002
FFA_CeilingSort2,133.9,243.94634999999997,95.13945000000001,133.79193991000002,156.73618413,102.38585589700001
FFA_CeilingSort3,133.12,247.02246,102.85361,131.46783539,152.87574027000002,101.942622861
FFA_FloorSort1,138.20999999999998,240.26444999999998,90.01937,135.43078458,151.00813571,109.25494084200001
FFA_FloorSort2,137.53,247.70308,93.99538000000001,137.3802668,154.74808904,107.13451527
FFA_FloorSort3,130.83,245.98956999999996,107.28495,134.20545533,150.50452224,113.937608012
