"playerId","player","team","position","age","exp","bye","points","lower","upper","sdPts","positionRank","dropoff","tier","ptSpread","overallECR","positionECR","sdRank","risk","sleeper","salary"
2495178,"Jarvis Jenkins","KC","DL",30,7,12,0.546837121212121,0,0.912224924012158,0.531380163203086,207,0.00188856154133943,47,0.912224924012158,NA,NA,NA,NA,NA,NA
2558766,"Grover Stewart","IND","DL",NA,1,9,0.546076817558299,0,0.941887537993921,0.855599205235722,208,0.00451303155006855,47,0.941887537993921,NA,NA,NA,NA,NA,NA
2561129,"Zach Sieler","BAL","DL",23,0,10,0.543820301783265,0,0.937995440729483,0.85206367132979,209,0.0090260631001372,47,0.937995440729483,NA,NA,NA,NA,NA,NA
2561137,"Trenton Cannon","NYJ","RB",NA,0,11,0.54200019624084,0,1.1141389633132,0.669576686003599,103,0.0486216248122681,22,1.1141389633132,NA,102.5,2.5,4.54969212235666,NA,NA
2558131,"Al-Quadin Muhammad","IND","DL",NA,1,9,0.539307270233196,0,0.930211246200608,0.844992603517924,210,0.0191803840877914,47,0.930211246200608,NA,NA,NA,NA,NA,NA
2532974,"Kyle Wilber","OAK","LB",29,6,7,0.533731138545953,0.11,0.6742475,0.487903679018718,169,0.0296356671973226,47,0.5642475,NA,NA,NA,NA,NA,NA
2560823,"Derrick Nnadi","KC","DL",22,0,12,0.530281207133059,0,0.914642857142857,0.830850467894193,211,0.0256594362460683,47,0.914642857142857,NA,NA,NA,NA,NA,NA
2539235,"Tavarres King","MIN","WR",28,5,10,0.530207142857143,0,1.29813455657492,1.11034885557454,150,0.019326729428973,26,1.29813455657492,NA,NA,NA,NA,NA,NA
2549896,"Marquis Flowers","DET","LB",26,4,6,0.524554924242424,0,0.91405504587156,0.537068445667576,170,0.0446745007488877,47,0.91405504587156,NA,NA,NA,NA,NA,NA
2560898,"Roc Thomas","MIN","RB",23,0,10,0.516757142857143,0,1.23851063829787,0.972842369266784,104,0.06158167882002,22,1.23851063829787,NA,76.4,3.8,5.64391940392261,NA,NA
2558258,"Shelton Gibson","PHI","WR",23,1,9,0.513628473915163,0,0.805421,0.359980450350205,151,0.00887580305159608,26,0.805421,NA,127.3,18,13.4979808646372,NA,NA
2561009,"Marquis Haynes","CAR","DL",25,0,4,0.50997256515775,0,0.879613981762918,0.799030662740799,212,0.0109920837083454,47,0.879613981762918,NA,NA,NA,NA,NA,NA
2556805,"Johnny Holton","OAK","WR",27,2,7,0.508132352941177,-0.0641176470588235,1.28097859327217,1.10569586254307,152,0.0159458585481975,26,1.34509624033099,NA,NA,NA,NA,NA,NA
2560819,"Nick Nelson","OAK","DB",NA,0,7,0.503203017832647,0,0.867937689969605,0.788424061023,216,0.0101543209876543,49,0.867937689969605,NA,NA,NA,NA,NA,NA
2495159,"Dwayne Harris","OAK","WR",31,7,7,0.501372988785958,0,0.993614893617021,0.530856763144667,153,0.0396028766455387,26,0.993614893617021,NA,121.3,10.1,8.42255449256177,NA,NA
2560998,"Rasheem Green","SEA","DL",21,0,7,0.499270976616231,0,0.863220183486239,0.784888527117068,213,0.00509402188372082,47,0.863220183486239,NA,NA,NA,NA,NA,NA
2556786,"Destiny Vaeao","PHI","DL",24,2,9,0.498689986282579,0,0.86015349544073,0.781352993211135,214,0.0112825788751714,47,0.86015349544073,NA,NA,NA,NA,NA,NA
2556394,"Chris Milton","IND","DB",26,2,9,0.496433470507545,0,0.856261398176292,0.777817459305202,217,0.0259499314128944,49,0.856261398176292,NA,NA,NA,NA,NA,NA
2543680,"Antone Exum","SF","DB",27,4,11,0.489663923182442,0,0.875637130432245,0.526434032579829,218,0.0394890260631001,50,0.875637130432245,NA,NA,NA,NA,NA,NA
2552444,"Leterrius Walton","PIT","DL",NA,3,7,0.489663923182442,0,0.844585106382979,0.767210857587404,215,0.00789780521262001,47,0.844585106382979,NA,NA,NA,NA,NA,NA
2553437,"Rodney Gunter","ARI","DL",NA,NA,9,0.485150891632373,0,0.836800911854103,0.760139789775539,216,0.030462962962963,47,0.836800911854103,NA,NA,NA,NA,NA,NA
2556192,"Joe Walker","ARI","LB",26,2,9,0.483636018454837,0,0.902844036697248,0.670564649836126,171,0.0187937687977728,47,0.902844036697248,NA,NA,NA,NA,NA,NA
2559270,"Robert Tonyan","GB","WR",24,1,7,0.483,0.483,0.483,Inf,154,0.042840087574274,27,0,NA,NA,NA,NA,NA,NA
2550242,"Mike Pennel","NYJ","DL",27,4,11,0.47838134430727,0,0.82512462006079,0.74953318805774,217,0.0620541838134431,47,0.82512462006079,NA,NA,NA,NA,NA,NA
2557853,"Ryan Anderson","WAS","LB",NA,1,4,0.476124828532236,0,0.821232522796353,0.745997654151807,172,0.0315912208504801,47,0.821232522796353,NA,NA,NA,NA,NA,NA
2550647,"Kasim Edebali","FA","RB",29,4,NA,0.47,0.47,0.47,NA,105,0.0387836426914153,23,0,NA,NA,NA,NA,NA,NA
2534567,"Korey Toomer","GB","LB",30,6,7,0.453559670781893,0,0.782311550151976,0.71064231509248,173,0.0191803840877914,47,0.782311550151976,NA,NA,NA,NA,NA,NA
2558248,"Chuck Clark","BAL","DB",23,1,10,0.451303155006859,0,0.778419452887538,0.707106781186547,219,0.0090260631001372,50,0.778419452887538,NA,NA,NA,NA,NA,NA
2555551,"LeShaun Sims","TEN","DB",NA,2,8,0.449046639231824,0,0.7745273556231,0.703571247280615,220,0.0203086419753086,50,0.7745273556231,NA,NA,NA,NA,NA,NA
