,ffa_ceiling,ffa_floor,ffa_points,name,roto_ceiling,roto_floor,roto_points
0,127.13455543599999,100.231477282,117.04912010199999,PointsSort1,224.27678,83.87940000000002,125.44000000000001
1,124.62198896599999,101.93344390899999,115.89466332799998,PointsSort2,223.4607,82.22119,123.44000000000001
2,124.91067048000001,87.386998655,111.43264327700001,PointsSort3,233.68266999999997,93.88662000000001,124.49000000000001
3,129.278743606,98.885637727,117.43727595799999,CeilingSort1,225.71537999999998,85.65745,124.45
4,130.188142746,92.402387226,116.036283048,CeilingSort2,232.1429,87.60749,124.76
5,124.91067048000001,87.386998655,111.43264327700001,CeilingSort3,233.68266999999997,93.88662000000001,124.49000000000001
6,125.83672665899999,95.27155953800002,114.800171716,FloorSort1,226.60861999999997,87.93967,124.80000000000001
7,129.87883642600002,93.90738722600001,117.385430741,FloorSort2,236.61593,89.83042999999999,126.49
8,132.28945077,88.10845871699999,114.53390241800001,FloorSort3,235.30012,97.01006999999998,124.26000000000002
9,132.370001026,102.69160089,120.293803422,FFA_PointsSort1,216.9324,82.56349,122.83000000000001
10,129.689035676,100.8864172,118.321070728,FFA_PointsSort2,219.66297,81.42835000000001,122.53000000000002
11,134.78231657999999,95.833443871,119.281897937,FFA_PointsSort3,236.01390999999998,91.9482,125.60000000000001
12,130.620575825,96.41662636,116.87082505999999,FFA_CeilingSort1,218.89773000000002,83.08946,121.78
13,131.201346591,93.44045404799999,116.053779246,FFA_CeilingSort2,226.47901000000002,86.90414,120.52
14,136.69445166,86.258234351,116.243300099,FFA_CeilingSort3,230.69168,91.24621,122.71000000000001
15,130.08075121899998,105.8435221,120.45721410699998,FFA_FloorSort1,222.18756,83.09636,124.10000000000001
16,130.85439886900002,105.22131235,120.85066251299999,FFA_FloorSort2,221.64059,81.69682,122.08000000000003
17,133.07939609,100.513163182,119.39342990400002,FFA_FloorSort3,235.88412,92.49014,124.58999999999997
