,ffa_ceiling,ffa_floor,ffa_points,name,roto_ceiling,roto_floor,roto_points
0,139.10937432,100.38738704999999,121.455574748,PointsSort1,223.05817000000002,83.65940000000002,125.35000000000001
1,136.202889355,101.38350720499999,120.442049163,PointsSort2,222.24209000000002,82.00119000000001,123.35000000000001
2,133.3080496,86.163773858,115.252920418,PointsSort3,233.68266999999997,93.88662000000001,124.49000000000001
3,138.92292258600003,97.75570102299999,120.894267256,CeilingSort1,225.51548,85.55745,124.35000000000001
4,139.09296383600002,91.886252176,119.71274068299999,CeilingSort2,231.943,87.50749,124.66000000000001
5,133.3080496,86.163773858,115.252920418,CeilingSort3,233.68266999999997,93.88662000000001,124.49000000000001
6,136.561078816,97.14532357999998,119.651317823,FloorSort1,223.98696999999999,88.12333000000001,122.68000000000002
7,129.761142796,86.87105035999998,111.942278143,FloorSort2,221.56198999999998,90.22295,117.07000000000001
8,137.21187213,87.0933586,117.72867087,FloorSort3,233.96776,100.88429,123.74000000000001
9,140.835861906,103.07620155000001,124.15073038700001,FFA_PointsSort1,216.9324,82.56349,122.83
10,137.47711553599999,101.26101786,121.664865097,FFA_PointsSort2,219.66297,81.42835000000001,122.53
11,145.85678253999998,91.985269808,124.75773980999999,FFA_PointsSort3,236.80068,94.67354999999999,126.31
12,140.849281148,103.07620155000001,124.14670037900001,FFA_CeilingSort1,218.11181,83.15349,123.42000000000002
13,139.100856198,98.538794668,121.634147189,FFA_CeilingSort2,226.27045,84.67319,125.03
14,144.58083949000002,86.39201851699998,121.54299879,FFA_CeilingSort3,232.75375,93.10191999999999,123.6
15,141.208265149,105.94796697999998,125.40261962599999,FFA_FloorSort1,214.72645,80.2035,122.25000000000001
16,141.340807769,106.85575722999998,125.71242549599998,FFA_FloorSort2,224.84315999999998,82.76986000000001,125.32000000000001
17,137.951330119,99.643882279,121.351673116,FFA_FloorSort3,230.13859000000002,93.18686,120.69
