name,roto_points,roto_ceiling,roto_floor,ffa_points,ffa_ceiling,ffa_floor
PointsSort1,123.32000000000002,207.08262,78.10860000000001,117.30371237399999,128.415938417,99.865510049
PointsSort2,120.03000000000002,218.01198000000002,80.53837999999999,117.35594748,128.81973753299997,96.50572813
PointsSort3,109.44,207.96926,91.00295000000001,112.829985212,125.79444686099998,95.75114857199999
CeilingSort1,120.91000000000001,217.27910000000006,80.64366,116.884695523,128.46087600299998,94.30953610899999
CeilingSort2,120.03000000000002,218.01198000000005,80.53838,117.35594748000001,128.819737533,96.50572813
CeilingSort3,112.27999999999999,214.69192,95.45115999999999,113.353489798,131.36725058099998,96.63670452299999
FloorSort1,116.49,211.13313,83.81599000000001,108.59377593500001,120.12927850899999,88.631371085
FloorSort2,117.16000000000001,215.54247000000004,85.50122,114.31153277,126.43546236899999,96.37052108600001
FloorSort3,113.41999999999999,214.0591,96.07013,112.785766343,127.56554619699999,93.979808418
FFA_PointsSort1,122.67,207.07389,77.85718,118.16618896599999,127.87758996,100.070510049
FFA_PointsSort2,119.27,215.90679,80.47936999999999,121.79289961299999,134.14504230299997,100.62957406499999
FFA_PointsSort3,109.19,207.46951,90.75295000000001,114.43993379800001,128.01886283899998,96.341148572
FFA_CeilingSort1,123.19,208.11337,77.22988,117.76532374899999,128.323425647,99.610510049
FFA_CeilingSort2,119.27,215.90679,80.47936999999999,121.79289961299999,134.14504230299997,100.62957406499999
FFA_CeilingSort3,110.91,209.59291,91.90305000000001,118.153331178,133.199688369,99.168455333
FFA_FloorSort1,122.86,205.64620000000002,77.13993,116.96102427499999,127.12574012099999,100.485235975
FFA_FloorSort2,119.47,215.64934000000005,79.88439,119.39621734400001,131.85572849399998,98.30461608499999
FFA_FloorSort3,112.35,212.47147,93.75553000000001,119.132156131,134.687000421,100.547200702
