name,roto_points,roto_ceiling,roto_floor,ffa_points,ffa_ceiling,ffa_floor
PointsSort1,120.23000000000002,213.09671999999998,81.1619,115.585413163,128.99600237299998,93.515813299
PointsSort2,117.28000000000002,219.37929000000003,81.64292999999999,116.39386454000001,130.66617020299998,94.757310768
PointsSort3,115.5,218.23012,94.65966,121.99798338100001,137.112190851,102.976226762
CeilingSort1,119.79,213.95566000000002,80.41126,115.170314543,128.396062173,92.16573510900002
CeilingSort2,114.10000000000002,214.33735000000001,79.18404,111.87087756999999,124.776332743,90.191566766
CeilingSort3,111.38,209.12983000000003,93.13095000000001,109.442644712,130.78363638099998,90.10621308099999
FloorSort1,114.38999999999999,206.71767,82.41301000000001,105.75682667500001,117.73464328899999,83.507570085
FloorSort2,109.05000000000001,207.51002000000003,82.73415,105.015587,118.56309188899999,85.661356924
FloorSort3,113.33,217.24899000000002,97.81207000000002,115.48301687300003,129.897683277,99.241621828
FFA_PointsSort1,118.48,212.20397,79.32981999999998,112.93774373400001,123.95772679299999,90.218643485
FFA_PointsSort2,118.09000000000002,222.12515000000002,81.96003999999999,118.206926898,131.60942150299996,95.76719055799998
FFA_PointsSort3,115.5,218.23012,94.65966,121.99798338100001,137.112190851,102.976226762
FFA_CeilingSort1,118.48,212.20397,79.32981999999998,112.93774373400001,123.95772679299999,90.218643485
FFA_CeilingSort2,116.60000000000001,219.91286000000002,81.72283,117.430801758,130.50130150299998,96.36514574
FFA_CeilingSort3,111.22,210.21259999999998,91.84647000000001,118.14005654600001,133.149673986,96.147348191
FFA_FloorSort1,118.87000000000002,211.69296000000003,80.46854,111.88559174900001,123.30613956299999,90.47364348500001
FFA_FloorSort2,117.30000000000001,216.53463000000002,80.87392999999999,117.766103813,129.780490643,94.256929928
FFA_FloorSort3,110.81,208.52601,92.57907000000002,117.358299101,134.07818851099998,98.03720070199999
