,ffa_ceiling,ffa_floor,ffa_points,name,roto_ceiling,roto_floor,roto_points
0,132.54412705500002,95.090690949,116.28551361899999,PointsSort1,210.69742,78.63405,122.21000000000002
1,127.07618603099999,97.10239910899999,116.64239897399999,PointsSort2,224.75129,86.96746000000002,122.36999999999999
2,137.43746661999998,87.44653915399999,118.506940211,PointsSort3,235.39786999999998,95.31212000000001,127.47
3,129.375437545,89.26708484699998,113.97053170899999,CeilingSort1,214.79636,82.27613000000001,122.44
4,127.317728631,92.02680173899999,115.02268437199999,CeilingSort2,224.62783,86.79557000000001,122.79999999999998
5,130.72565225999998,86.653662075,113.58223716299999,CeilingSort3,236.15179,96.97086,124.99
6,129.10028851799999,89.01729664899999,113.15319328199998,FloorSort1,219.51538,87.36144000000002,122.84
7,128.453386564,86.511233933,115.212454667,FloorSort2,233.12212,97.08164000000001,126.30000000000001
8,119.093483155,77.346539921,106.168885068,FloorSort3,229.29070000000002,99.14599,119.48
9,130.436953164,95.26403649999999,114.791557702,FFA_PointsSort1,199.68755,80.31716999999999,118.02000000000001
10,129.405761452,99.68175717299998,117.590931081,FFA_PointsSort2,217.12098,88.44254999999998,121.35999999999999
11,141.45287223,93.425440655,119.906564736,FFA_PointsSort3,225.2237,92.24775000000001,124.39999999999998
12,129.839233423,93.57232139599998,114.08030588300001,FFA_CeilingSort1,203.21890999999997,82.88389,119.25
13,130.02717301200002,97.90175717299998,117.41011370099999,FFA_CeilingSort2,214.14246999999997,86.69677999999999,119.86999999999999
14,141.45287223,93.425440655,119.906564736,FFA_CeilingSort3,225.2237,92.24775000000001,124.39999999999998
15,133.33098530299998,94.28695831,117.357177061,FFA_FloorSort1,198.58267999999998,79.43941,120.89000000000001
16,136.336853411,104.671948883,122.00479766,FFA_FloorSort2,224.41364,91.96962,123.85999999999999
17,138.8274707,98.36459434,120.69580213600001,FFA_FloorSort3,230.34726,94.13006,125.97
