"Alex Armah",4500,CAR,RB,ATL,2.33883,1.17,1.17
"Bilal Powell",6200,NYJ,RB,MIA,17.33133,7.88103,8.67
"Isaiah Crowell",6400,NYJ,RB,MIA,20.79119,7.79009,10.57
"Damien Williams",4500,KCC,RB,PIT,6.1969,3.1,3.1
"Kareem Hunt",7800,KCC,RB,PIT,25.0838,9.1105,13.3
"Nick Chubb",5200,CLE,RB,NOS,2.13893,1.07,1.07
"Duke Johnson",5200,CLE,RB,NOS,14.89752,6.28056,7.92
"Ty Montgomery",5700,GBP,RB,MIN,11.97401,5.58867,5.99
"Jamaal Williams",6100,GBP,RB,MIN,22.64016,8.69004,12.12
"Carlos Hyde",6300,CLE,RB,NOS,20.78328,7.88408,11.12
"Zach Line",4500,NOS,RB,CLE,3.67816,1.84,1.84
"Spencer Ware",5200,KCC,RB,PIT,12.75362,5.9334,6.38
"Alvin Kamara",9000,NOS,RB,CLE,36.37652,13.7125,21.94
"Mike Gillislee",4600,NOS,RB,CLE,12.17391,5.47491,6.09
"Javorius Allen",4900,BAL,RB,CIN,15.57221,6.81625,7.79
